tweet_id,timestamp,topic,text,veracity
580320995266936832,Tue Mar 24 10:51:21 +0000 2015,germanwings-crash,#BREAKING: A Germanwings Airbus A320 has crashed in French Alps near Digne (@AhronYoung),true
580697361799876608,Wed Mar 25 11:46:54 +0000 2015,germanwings-crash,"BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.",false
580320329203093504,Tue Mar 24 10:48:42 +0000 2015,germanwings-crash,#A320 @Germanwings flight #4U9525 (registration D-AIPX) was lost from @Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/5Gv9lXJZW8,unverified
581357303405813760,Fri Mar 27 07:29:16 +0000 2015,germanwings-crash,#Germanwings co-pilot suffered serious depression 6 years ago: German newspaper http://t.co/LXDzBdNdMB http://t.co/yTUNdHyEJY,unverified
580329886532968448,Tue Mar 24 11:26:41 +0000 2015,germanwings-crash,Passenger plane carrying 148 people crashes in the French Alps en route from Spain to Germany. #Germanwings,false
580338165824667649,Tue Mar 24 11:59:35 +0000 2015,germanwings-crash,#WATCH: An aviation expert says the #4U9525 distress call was circulated on Twitter within three minutes. http://t.co/ywO1t8O4XI,false
581063957684850688,Thu Mar 26 12:03:37 +0000 2015,germanwings-crash,#BREAKING #GERMANWINGS co-pilot confirmed name at Press Conference: FirstName: Andreas Guenter / LastName: Lubitz,true
580347961256837120,Tue Mar 24 12:38:30 +0000 2015,germanwings-crash,#BREAKING: Death toll on #Germanwings flight #4U9525 rises to 150 #A320 http://t.co/NK5U1GpHxL,true
580333904126742528,Tue Mar 24 11:42:39 +0000 2015,germanwings-crash,148 people feared dead after Germanwings Airbus crash in France: http://t.co/uuK7F3uSVP http://t.co/Y7e55cwW7B,false
580372127125131264,Tue Mar 24 14:14:32 +0000 2015,germanwings-crash,#Germanwings says it cannot confirm that a very brief distress signal was made before flight #4U9525 crashed http://t.co/Pbr82b0Eul,false
581295858898989056,Fri Mar 27 03:25:07 +0000 2015,germanwings-crash,"Converts are DISTURBED!! Co-Pilot of #GermanWings Airbus Was a Muslim convert. ""Hero of Islamic State"" http://t.co/jBoJb6rfor #WhiteMuslims",false
580348878370828288,Tue Mar 24 12:42:09 +0000 2015,germanwings-crash,"BREAKING Authorities confirm last words from #germanwings #4U9525 A320 distress call were ""emergency, emergency"" http://t.co/wFg8KTSve2",false
580330369603366913,Tue Mar 24 11:28:36 +0000 2015,germanwings-crash,VIDEO -  BREAKING NEWS - Germanwings Airbus crashes in the French Alps with 148 onboard http://t.co/C2fJV2Uapu http://t.co/y0RoEPBMqM,false
580320161082830848,Tue Mar 24 10:48:02 +0000 2015,germanwings-crash,#breaking Airbus A320 crashes in southern France with 148 people on board  #Germanwings http://t.co/suRCtXRGsU,false
580321372703985664,Tue Mar 24 10:52:51 +0000 2015,germanwings-crash,MORE: Airbus #A320 was lost from Flightradar24 at 6800 feet at 09.39 UTC time #GermanWings http://t.co/WKhAjiH6pQ http://t.co/n4vTej13ff,unverified
581300992194572288,Fri Mar 27 03:45:31 +0000 2015,germanwings-crash,"MUSLIM CONVERT? A German news website, http://t.co/sZQQ0pKwM1 claims Andreas Lubitz was a Muslim convert http://t.co/nX2CXzgiJr",false
581107798932631552,Thu Mar 26 14:57:50 +0000 2015,germanwings-crash,schoolmates of co-pilot who crashed #4U9525 tell german reporters he took 6-months break from flight training in 2009 due to burnout-syndrom,unverified
581287108607811584,Fri Mar 27 02:50:21 +0000 2015,germanwings-crash,BREAKING GERMAN NEWS: Germanwings Airbus Co-Pilot Was MUSLIM CONVERT http://t.co/oRtt0ab4YA via @gatewaypundit,false
581301336085553152,Fri Mar 27 03:46:53 +0000 2015,germanwings-crash,"All evidence indicates copilot of Airbus machine in his 6-months break during his training as a pilot in Germanwings, converted to Islam",false
580320856561209344,Tue Mar 24 10:50:48 +0000 2015,germanwings-crash,BREAKING: Lufthansa's Germanwings plane crashes in southern France -- Report,true
581153923987206146,Thu Mar 26 18:01:07 +0000 2015,germanwings-crash,"Germanwings co-pilot battled depression in '09, friends say. http://t.co/srhDPf4Zn5 http://t.co/I3Zd1RyNud",unverified
580317556516483072,Tue Mar 24 10:37:41 +0000 2015,germanwings-crash,BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,unverified
581299253743501312,Fri Mar 27 03:38:36 +0000 2015,germanwings-crash,The co-pilot of the Germanwings Airbus was a convert to Islam http://t.co/Q7yHJ4Ne2d,false
580326222107951104,Tue Mar 24 11:12:07 +0000 2015,germanwings-crash,"Heart goes out to 148 passengers and crew of Germanwings Airbus A320 that has crashed in French Alps, Southern France http://t.co/K7fmJLRt4G",false
580371845997682688,Tue Mar 24 14:13:25 +0000 2015,germanwings-crash,"#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann.",true
581394092648710144,Fri Mar 27 09:55:28 +0000 2015,germanwings-crash,#BREAKING German media report Germanwings co-pilot had 'serious depressive episode' http://t.co/9AsVPxukV8,unverified
581460720900050945,Fri Mar 27 14:20:13 +0000 2015,germanwings-crash,#Germanwings #CoPilot was a recent Muslim convert as well as a psychiatric patient. #ISIS is lauding him as a hero. http://t.co/J29Y3tDjOP,false
580357537083576321,Tue Mar 24 13:16:34 +0000 2015,germanwings-crash,"#4U9525 - The Airbus 320 plunged at a rate of 5,000 feet per minute before crashing.  - @PollyR_Aviation",true
581063377226637312,Thu Mar 26 12:01:19 +0000 2015,germanwings-crash,#4U9525: Robin names Andreas Lubitz as the copilot in the flight deck who crashed the aircraft.,true
580882121222434816,Thu Mar 26 00:01:04 +0000 2015,germanwings-crash,Recovered black box shows a pilot was locked out of the Germanwings cockpit before the crash http://t.co/ac6AdA5NKL http://t.co/bxgMNjEGeW,true
580347361039413248,Tue Mar 24 12:36:07 +0000 2015,germanwings-crash,Airline #Germanwings says 144 passengers and six crew were on board the plane which crashed near #Digne,false
580321844089212928,Tue Mar 24 10:54:44 +0000 2015,germanwings-crash,"BREAKING: Airbus A320 with 142 passengers and 6 crew members crashes in #Digne, France #4U9525 http://t.co/XTMaa9mAV2 http://t.co/ADAEpPZdMY",false
580339825649291264,Tue Mar 24 12:06:11 +0000 2015,germanwings-crash,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr,false
580321925265788928,Tue Mar 24 10:55:03 +0000 2015,germanwings-crash,"MORE Airbus A320 that crashed in southern France operated by Germanwings, carrying 142 passengers, 2 pilots, 4 crew http://t.co/XwKPmofTD9",false
580327692765151232,Tue Mar 24 11:17:58 +0000 2015,germanwings-crash,"Germanwings crash plane 'lost signal at 6,800 feet', flight radar shows http://t.co/AjQxaENYSb http://t.co/cgU1GqKYqK",unverified
580330721719508992,Tue Mar 24 11:30:00 +0000 2015,germanwings-crash,"A Germanwings Airbus A320, flight #4U9525 BCN-DUS, crashed in southern France; 148 on board http://t.co/tUtpc26daX",false
580706841769820160,Wed Mar 25 12:24:34 +0000 2015,germanwings-crash,At least 72 Germans and 35 Spanish killed in #Germanwings crash: Airline http://t.co/JeigmQOTna http://t.co/HrECGvkUuV,false
581064144394285056,Thu Mar 26 12:04:22 +0000 2015,germanwings-crash,French prosecutor names co-pilot of #germanwings plane that crashed in the Alps as Andreas Lubitz. He was at controls of plane.,true
580346392431968257,Tue Mar 24 12:32:16 +0000 2015,germanwings-crash,"Last words from #Germanwings A320 distress call were ""emergency, emergency,"" authorities say. http://t.co/FXVBrA7RPz http://t.co/OxfPISsdvj",false
580322346508124160,Tue Mar 24 10:56:43 +0000 2015,germanwings-crash,"Germanwings #A320 plane crashes in southern France, French prime minister says. More soon. http://t.co/k6pv4OsCQI",true
580321317527879680,Tue Mar 24 10:52:38 +0000 2015,germanwings-crash,Germanwings Airbus A320 en route from Barcleona to Dusseldorf crashes in southern French Alps - 148 people on board http://t.co/dqXZQFlg9U,false
580326012749221890,Tue Mar 24 11:11:18 +0000 2015,germanwings-crash,All passengers and crew feared dead after A320 plane crashes in southern France  http://t.co/H3YACXHTjK #4U9525 More to follow.,true
580322066374721537,Tue Mar 24 10:55:37 +0000 2015,germanwings-crash,German Wings Airbus A320 #4U9525 lost from @Flightradar24 at 6800 ft at 09.39 UTC time UPDATES http://t.co/XTMaa9mAV2 http://t.co/VwZmbhcUsn,unverified
580332485030125568,Tue Mar 24 11:37:01 +0000 2015,germanwings-crash,#Breaking: A plane carrying at least 142 people crashes in  France. French PM says unlikely anyone on the #Germanwings  jetliner survived,false
581066887200694272,Thu Mar 26 12:15:16 +0000 2015,germanwings-crash,"Andreas Lubitz, co-pilot who brought down #Germanwings flight intentionally, recently commended by the FAA: http://t.co/8dAYQ8vAKF",false
580346142183002113,Tue Mar 24 12:31:17 +0000 2015,germanwings-crash,"Latest update from @germanwings - now saying 144 passengers and six crew, so 150 people on board A320 that crashed http://t.co/uj1VdJyW5s",false
581411131547320321,Fri Mar 27 11:03:10 +0000 2015,germanwings-crash,BREAKING: Germanwings co-pilot was Muslim convert http://t.co/iCRwOsU1uq,false
580329875891974145,Tue Mar 24 11:26:39 +0000 2015,germanwings-crash,Germanwings Airbus A320 crashes in French Alps: flightradar data shows flight #4U9525 had rapid descent http://t.co/WcNAHONCnQ,true
580371847335821312,Tue Mar 24 14:13:25 +0000 2015,germanwings-crash,BREAKING: Germanwings CEO: plane went into 8-minute descent before crashing.,true
580326111311171584,Tue Mar 24 11:11:41 +0000 2015,germanwings-crash,"BREAKING: French President Francois Hollande says “apparently no survivors"" in Germanwings crash, at least 148 passengers on the plane",true
580323456996282369,Tue Mar 24 11:01:08 +0000 2015,germanwings-crash,"A @germanwings A322 #4U9525, BCN-DUS,  with at least 143 passengers has crashed today at 9.39 UTC http://t.co/L7Wtodurt7",unverified
580320563891019776,Tue Mar 24 10:49:38 +0000 2015,germanwings-crash,BREAKING: Germanwings Airbus A320 crashes in French Alps | via @BBCBreaking,true
580326398620934144,Tue Mar 24 11:12:50 +0000 2015,germanwings-crash,.@flightradar24 altitude &amp; speed chart of #4U9525. Aircraft entered a steep but constant descent. http://t.co/Hl7IVhZCmy,true
580320893668364288,Tue Mar 24 10:50:57 +0000 2015,germanwings-crash,Terrible news... Airbus A320 from Barcelona to Dusseldorf has crashed in France (Germanwings Flight 9525). http://t.co/C3zpWZ5bIF,unverified
580883793709547521,Thu Mar 26 00:07:43 +0000 2015,germanwings-crash,"The door is solid, you can’t knock it down… it’s bulletproof-@JimTilmon on @NYTimes rpt #Germanwings pilot locked out http://t.co/hs20B8jC4b",true
581386155083620352,Fri Mar 27 09:23:55 +0000 2015,germanwings-crash,Andreas Lubitiz was 'deemed unsuitable for flight duties' during  training #Germanwings http://t.co/nk5GGyuxaa http://t.co/HQpKZD4DSI,unverified
580324985148932097,Tue Mar 24 11:07:13 +0000 2015,germanwings-crash,UPDATE: Germanwings #A320 from Barcelona to Dusseldorf sent out a distress call at 1047 local time - @skymarkwhite,false
580328783619579904,Tue Mar 24 11:22:18 +0000 2015,germanwings-crash,"Received news that a Germanwings Airbus A320 plane crashed in southern France, carrying 142 passengers &amp; 6 crew onboard.",false
581274406804025344,Fri Mar 27 01:59:52 +0000 2015,germanwings-crash,Thank God he's not a Muslim! Otherwise the world'd be on a Muslim hate spree now #Germanwings http://t.co/NoXAhjSmP7 http://t.co/Qdsc50p86W,false
580353540725452800,Tue Mar 24 13:00:41 +0000 2015,germanwings-crash,UPDATE: No survivors are expected among the 150 people aboard #Germanwings plane. http://t.co/hd7zdUJtH4 http://t.co/iibVTBuIqz,true
580339547269144576,Tue Mar 24 12:05:04 +0000 2015,germanwings-crash,"Latest on #Germanwings crash: Pilots signaled 911 before dropping out of midair; airline CEO calls this a ""dark day."" http://t.co/S5CZoWnn2T",false
580352273001410560,Tue Mar 24 12:55:38 +0000 2015,germanwings-crash,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation,false
580324697415360512,Tue Mar 24 11:06:04 +0000 2015,germanwings-crash,French President François Hollande states that there are no survivors expected in the Germanwings #4U9525 crash.,true
580321327845765120,Tue Mar 24 10:52:41 +0000 2015,germanwings-crash,"BREAKING: A #Lufthansa #Germanwings Airbus jet carrying 148 people has crashed in southern #France, en route from #Barcelona to #Duesseldorf",false
581307361857392642,Fri Mar 27 04:10:49 +0000 2015,germanwings-crash,Pilot of Germanwings Airbus Was MUSLIM CONVERT …’Hero of Islamic State’? http://t.co/o7H6OuEfJd via @gatewaypundit http://t.co/GlDWraPosJ,false
580320267777511425,Tue Mar 24 10:48:28 +0000 2015,germanwings-crash,Flight #4U9525 is a flight from Barcelona to Dusseldorf. STD 08:35 ATD 09:00 STA 10:55 Signal lost 09:41 http://t.co/FHoX6q0GHt,unverified
580320684305416192,Tue Mar 24 10:50:07 +0000 2015,germanwings-crash,"Accident aircraft looks to be Germanwings (Airline code 4U or GWI) flight 9525, Barcelona to Dusseldorf. #4U9525 http://t.co/TIZc1N1ZrK",unverified
